"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked","AgeGroup","FamilySize","FamilyType","FareGroup"
0,3,"male",22,1,0,7.25,"","S","Adult",2,"Small Family","Low"
1,1,"female",38,1,0,71.2833,"C85","C","Adult",2,"Small Family","High"
1,3,"female",26,0,0,7.925,"","S","Adult",1,"Solo","Low"
1,1,"female",35,1,0,53.1,"C123","S","Adult",2,"Small Family","High"
0,3,"male",35,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"male",28,0,0,8.4583,"","Q","Adult",1,"Solo","Low"
0,1,"male",54,0,0,51.8625,"E46","S","Adult",1,"Solo","High"
0,3,"male",2,3,1,21.075,"","S","Child",5,"Large Family","Medium"
1,3,"female",27,0,2,11.1333,"","S","Adult",3,"Small Family","Medium"
1,2,"female",14,1,0,30.0708,"","C","Child",2,"Small Family","High"
1,3,"female",4,1,1,16.7,"G6","S","Child",3,"Small Family","Medium"
1,1,"female",58,0,0,26.55,"C103","S","Adult",1,"Solo","Medium"
0,3,"male",20,0,0,8.05,"","S","Adult",1,"Solo","Low"
0,3,"male",39,1,5,31.275,"","S","Adult",7,"Large Family","High"
0,3,"female",14,0,0,7.8542,"","S","Child",1,"Solo","Low"
1,2,"female",55,0,0,16,"","S","Adult",1,"Solo","Medium"
0,3,"male",2,4,1,29.125,"","Q","Child",6,"Large Family","Medium"
1,2,"male",28,0,0,13,"","S","Adult",1,"Solo","Medium"
0,3,"female",31,1,0,18,"","S","Adult",2,"Small Family","Medium"
1,3,"female",28,0,0,7.225,"","C","Adult",1,"Solo","Low"
0,2,"male",35,0,0,26,"","S","Adult",1,"Solo","Medium"
1,2,"male",34,0,0,13,"D56","S","Adult",1,"Solo","Medium"
1,3,"female",15,0,0,8.0292,"","Q","Child",1,"Solo","Low"
1,1,"male",28,0,0,35.5,"A6","S","Adult",1,"Solo","High"
0,3,"female",8,3,1,21.075,"","S","Child",5,"Large Family","Medium"
1,3,"female",38,1,5,31.3875,"","S","Adult",7,"Large Family","High"
